code,meigara,kana,kuramoto,ken,shi,address¥n1235,京極,きょうごく,二世古酒造,北海道,虻田郡,北海道虻田郡倶知安町旭47
1418,五醸,ごじょう,八戸酒類 五戸工場,青森県,三戸郡,青森県五戸工場〒039-1554 青森県
1557,酔,すい,八戸酒類 五戸工場,青森県,三戸郡,青森県五戸工場〒039-1554 青森県
1419,如空,じょくう,八戸酒類 五戸工場,青森県,三戸郡,青森県五戸工場〒039-1554 青森県
162,菊駒,きくこま,八戸酒類 五戸工場,青森県,三戸郡,青森県五戸工場〒039-1554 青森県
1556,十,とお,八戸酒類 五戸工場,青森県,三戸郡,青森県五戸工場〒039-1554 青森県
3563,五戸のどんべり,ごのへのどんべり,八戸酒類 五戸工場,青森県,三戸郡,青森県五戸工場〒039-1554 青森県
1555,菊駒,きくこま,菊駒酒造,青森県,三戸郡,青森県三戸郡五戸町字川原町12
3755,隼風,はやかぜ,桃川,青森県,上北郡,青森県上北郡おいらせ町上明堂112
157,杉玉,すぎだま,桃川,青森県,上北郡,青森県上北郡おいらせ町上明堂112
159,ねぶた,ねぶた,桃川,青森県,上北郡,青森県上北郡おいらせ町上明堂112
18,桃川,ももかわ,桃川,青森県,上北郡,青森県上北郡おいらせ町上明堂112
3754,斗南の桜,となみのさくら,桃川,青森県,上北郡,青森県上北郡おいらせ町上明堂112
3753,十和田美人,とわだびじん,盛田庄兵衛,青森県,上北郡,青森県上北郡七戸町字七戸230
3562,一の馬,いちのうま,盛田庄兵衛,青森県,上北郡,青森県上北郡七戸町字七戸230
3561,七力,しちりき,盛田庄兵衛,青森県,上北郡,青森県上北郡七戸町字七戸230
23,駒泉,こまいずみ,盛田庄兵衛,青森県,上北郡,青森県上北郡七戸町字七戸230
3578,作田,さくた,盛田庄兵衛,青森県,上北郡,青森県上北郡七戸町字七戸230
25,桜顔,さくらがお,桜顔酒造,岩手県,盛岡市,岩手県盛岡市川目町23-18
165,大地の一献,だいちのいっこん,桜顔酒造,岩手県,盛岡市,岩手県盛岡市川目町23-18
3115,北国の恋人,きたぐにのこいびと,桜顔酒造,岩手県,盛岡市,岩手県盛岡市川目町23-18
3114,姫のかくし酒,ひめのかくしざけ,桜顔酒造,岩手県,盛岡市,岩手県盛岡市川目町23-18
3116,もりおか SAKE すぱぁくりんぐ,もりおか さけ すぱぁくりんぐ,桜顔酒造,岩手県,盛岡市,岩手県盛岡市川目町23-18
27,あさ開,あさびらき,あさ開,岩手県,盛岡市,岩手県盛岡市大慈寺町10-34
1376,浜娘,はまむすめ,赤武酒造,岩手県,盛岡市,岩手県盛岡市北飯岡1-8-60
2835,赤武,あかぶ,赤武酒造,岩手県,盛岡市,岩手県盛岡市北飯岡1-8-60
3810,海龍,かいりゅう,赤武酒造,岩手県,盛岡市,岩手県盛岡市北飯岡1-8-60
28,岩手川,いわてがわ,岩手川,岩手県,盛岡市,岩手県盛岡市
3259,平井六右衛門,ひらいろくえもん,菊の司酒造,岩手県,盛岡市,岩手県盛岡市紺屋町4-20
167,七福神,しちふくじん,菊の司酒造,岩手県,盛岡市,岩手県盛岡市紺屋町4-20
26,菊の司,きくのつかさ,菊の司酒造,岩手県,盛岡市,岩手県盛岡市紺屋町4-20
166,にごり酒杜の白菊,にごりざけもりのしらぎく,菊の司酒造,岩手県,盛岡市,岩手県盛岡市紺屋町4-20
33,関山,かんざん,両磐酒造,岩手県,一関市,岩手県一関市末広1-8-23
3165,奥州のおっほー,おうしゅうおっほー,両磐酒造,岩手県,一関市,岩手県一関市末広1-8-23
1374,世嬉の一,せきのいち,世嬉の一酒造,岩手県,一関市,岩手県一関市田村町5-42
36,酔仙,すいせん,酔仙酒造,岩手県,大船渡市,岩手県大船渡市猪川町久名110-1
1814,雪っこ,ゆきっこ,酔仙酒造,岩手県,大船渡市,岩手県大船渡市猪川町久名110-1
170,岩手の地酒,いわてのじざけ,酔仙酒造,岩手県,大船渡市,岩手県大船渡市猪川町久名110-1
1372,蒼天,そうてん,天瓢,岩手県,奥州市,岩手県奥州市水沢区立町13
2473,鬼剣舞,おにけんばい,喜久盛酒造,岩手県,北上市,岩手県北上市更木3-54
2803,タクシードライバー,たくしーどらいばー,喜久盛酒造,岩手県,北上市,岩手県北上市更木3-54
1161,喜久盛,きくざかり,喜久盛酒造,岩手県,北上市,岩手県北上市更木3-54
2474,リゾビーノ,りぞびーの,喜久盛酒造,岩手県,北上市,岩手県北上市更木3-54
3077,電氣菩薩,でんきぼさつ,喜久盛酒造,岩手県,北上市,岩手県北上市更木3-54
3078,シャムロック,しゃむろっく,喜久盛酒造,岩手県,北上市,岩手県北上市更木3-54
1608,風の又三郎,かぜのまたさぶろう,白雲,岩手県,花巻市,岩手県花巻市
1607,白雲,はくうん,白雲,岩手県,花巻市,岩手県花巻市
32,浜千鳥,はまちどり,浜千鳥,岩手県,釜石市,岩手県釜石市小川町3-8-7
169,仙人郷,せんにんきょう,浜千鳥,岩手県,釜石市,岩手県釜石市小川町3-8-7
1375,千両男山,せんりょうおとこやま,菱屋酒造店,岩手県,宮古市,岩手県宮古市鍬ヶ崎下町5-24
35,龍泉八重桜,りゅうせんやえざくら,泉金酒造,岩手県,下閉伊郡,岩手県下閉伊郡岩泉町岩泉太田30
1354,国華の薫,こっかのかおり,上閉伊酒造,岩手県,遠野市,岩手県遠野市青笹町糠前31-19-7
1355,遠野河童の盗み酒,とうのかっぱのぬすみざけ,上閉伊酒造,岩手県,遠野市,岩手県遠野市青笹町糠前31-19-7
3809,たえの酒,たえのさけ,上閉伊酒造,岩手県,遠野市,岩手県遠野市青笹町糠前31-19-7
1269,酔右衛門,よえもん,川村酒造店,岩手県,花巻市,岩手県花巻市石鳥谷町好地12-132
1268,南部関,なんぶぜき,川村酒造店,岩手県,花巻市,岩手県花巻市石鳥谷町好地12-132
31,月の輪,つきのわ,月の輪酒造店,岩手県,紫波郡,岩手県紫波郡紫波町高水寺向畑101
3065,若狭屋徳市,わかさやとくいち,月の輪酒造店,岩手県,紫波郡,岩手県紫波郡紫波町高水寺向畑101
168,宵の月,よいのつき,月の輪酒造店,岩手県,紫波郡,岩手県紫波郡紫波町高水寺向畑101
1188,荒蝦夷,あらえびす,廣田酒造店,岩手県,紫波郡,岩手県紫波郡紫波町宮手泉屋敷2-4
2834,関泉,せきいずみ,廣田酒造店,岩手県,紫波郡,岩手県紫波郡紫波町宮手泉屋敷2-4
2833,喜平治,きへいじ,廣田酒造店,岩手県,紫波郡,岩手県紫波郡紫波町宮手泉屋敷2-4
1187,廣喜,ひろき,廣田酒造店,岩手県,紫波郡,岩手県紫波郡紫波町宮手泉屋敷2-4
2750,紫波の匠,しわのたくみ,高橋酒造店,岩手県,紫波郡,岩手県紫波郡紫波町片寄堀米36
2751,堀米,ほりごめ,高橋酒造店,岩手県,紫波郡,岩手県紫波郡紫波町片寄堀米36
1415,堀の井,ほりのい,高橋酒造店,岩手県,紫波郡,岩手県紫波郡紫波町片寄堀米36
3267,鸛,こうのとり,吾妻嶺酒造店,岩手県,紫波郡,岩手県紫波郡紫波町土舘内川5
3265,あづまみね,あづまみね,吾妻嶺酒造店,岩手県,紫波郡,岩手県紫波郡紫波町土舘内川5
3266,悠楽,ゆうらく,吾妻嶺酒造店,岩手県,紫波郡,岩手県紫波郡紫波町土舘内川5
3268,我が家の春,わがやのはる,吾妻嶺酒造店,岩手県,紫波郡,岩手県紫波郡紫波町土舘内川5
30,吾妻嶺,あづまみね,吾妻嶺酒造店,岩手県,紫波郡,岩手県紫波郡紫波町土舘内川5
3534,芳梅,ほうばい,南部美人,岩手県,二戸市,岩手県二戸市福岡上町13
37,南部美人,なんぶびじん,南部美人,岩手県,二戸市,岩手県二戸市福岡上町13
29,鷲の尾,わしのお,わしの尾,岩手県,八幡平市,岩手県八幡平市大更第22地割158
171,北リアスからの風,きたりあすからのかぜ,鈴蘭酒造,岩手県,久慈市,岩手県久慈市
38,銀嶺すずらん,ぎんれいすずらん,鈴蘭酒造,岩手県,久慈市,岩手県久慈市
39,福来,ふくらい,福来,岩手県,久慈市,岩手県久慈市宇部町5-31
3475,久慈川,くじがわ,福来,岩手県,久慈市,岩手県久慈市宇部町5-31
172,白樺凛,しらかばりん,福来,岩手県,久慈市,岩手県久慈市宇部町5-31
3474,涼霞,すずかすみ,福来,岩手県,久慈市,岩手県久慈市宇部町5-31
3473,鐵の道,てつのみち,福来,岩手県,久慈市,岩手県久慈市宇部町5-31
3472,北限の海女,ほくげんのあま,福来,岩手県,久慈市,岩手県久慈市宇部町5-31
34,磐乃井,いわのい,磐乃井酒造,岩手県,一関市,岩手県一関市花泉町涌津舘72
