id,sitecode,sakename,kuramoto,address,is_junmai,seimaibuai,alcohol,nihonsyudo,sando,aminosando,etc1,etc2,etc3,etc4,etc5,etc6,etc7,etc8
17,107,龍力 山田穂,蔵元：株式会社　本田商店,蔵元：兵庫県姫路市網干区高田361-1,純米,精米歩合：65%,度数：16度以上17度未満,None,None,None,原材米：山田穂100%使用,原材料：米・米こうじ,,,,,,
18,109,秀鳳,蔵元：有限会社 秀鳳酒造場,蔵元：山形県山形市山家町1-6-6,純米,精米歩合：50%,度数：17度,日本酒度：+1,酸度：1.7,None,原材料：米・米こうじ,,,,,,,
19,111,黒牛,蔵元：株式会社 名手酒造店,蔵元：和歌山県海南市黒江846,純米,精米歩合：50%,度数：15.9度,日本酒度：+2,酸度：1.7,None,原材料：米・米こうじ（山田錦100%）,,,,,,,
20,113,あさ開,蔵元：株式会社 あさ開,蔵元：岩手県盛岡市大慈寺町10-34,純米,精米歩合：65%,度数：15度以上１６度未満,None,酸度：1.4,アミノ酸度：1.4,原材料：米・米こうじ,,,,,,,
21,115,田酒 純米吟醸 百四拾,蔵元：株式会社　西田酒造店,蔵元：青森市大字油川字大浜46,純米,精米歩合：50%,度数：１６度,None,None,None,原材料：米・米こうじ,,,,,,,
22,120,苗加屋 純米吟醸,蔵元：若鶴酒造株式会社,蔵元：富山県砺波市三郎丸208,純米,精米歩合　：55%,度数　：　17.0～18.0度未満,None,None,None,原材料：米・米こうじ,原料米　：　山田錦100%,,,,,,
23,123,山（原酒）,蔵元：秋鹿酒造,蔵元：大阪府豊能郡能勢町倉垣１００７,純米,精米歩合　：　60%,度数　：　18.0～19.0度未満,日本酒度　：　＋5,酸度　：　2.0,アミノ酸度　：　1.0,原料米　：　山田錦,種類　：　山廃　無濾過　純米吟醸,杜氏氏名　：　但馬・谷淵秀雄,,,,,
24,125,奥播磨,蔵元：下村酒造店,蔵元：兵庫県姫路市安富町安志957,純米,精米歩合　：　55%,度数　：　16.0以上～17.0度未満 / 17.0以上～18.0度未満（生）,None,None,None,原料米　：　兵庫夢錦,種類　：　山廃・純米,,,,,,
25,127,奥播磨：芳醇超辛,蔵元：下村酒造店,蔵元：兵庫県姫路市安富町安志957,純米,精米歩合　：　55%,度数　：　17.0以上～18.0度未満,None,None,None,種類：純米吟醸,,,,,,,
26,129,袋しぼり,蔵元：下村酒造店,蔵元：兵庫県姫路市安富町安志957,純米,None,度数：17.0以上～18.0度未満,None,None,None,種類：純米・生詰,,,,,,,
27,131,くどき上手,蔵元：亀の井酒造株式会社,蔵元：山形県鶴岡市羽黒町戸野福の内一,純米,精米歩合　：　50%,度数：16.0以上～17.0度未満,日本酒度：＋10,酸度：1.3,None,原材料：米・米こうじ,原料米：岡山産雄町100%,使用酵母：小川・KA,種類：生詰・純米・吟醸,,,,
28,133,くどき上手：出羽の里,蔵元：亀の井酒造株式会社,蔵元：山形県鶴岡市羽黒町戸野福の内一,純米,精米歩合　：　44%,度数：17.0以上～18.0度未満,日本酒度：-1.0,酸度：1.3,None,原材料：米・米こうじ,原料米：出羽の里100%,使用酵母：小川・1601,種類：生詰・純米・吟醸,,,,
29,136,くどき上手：純米吟醸,蔵元：亀の井酒造株式会社,蔵元：山形県鶴岡市羽黒町戸野福の内一,純米,精米歩合　：50%,度数：16.0以上～17.0度未満,日本酒度：＋1.0,酸度：1.2,None,原材料：米・米こうじ,原料米：庄内・美山錦100%,使用酵母：小川10号,種類：純米・吟醸,,,,
30,138,くどき上手：純米大吟醸33,蔵元：亀の井酒造株式会社,蔵元：山形県鶴岡市羽黒町戸野福の内一,純米,精米歩合：33%,度数：16.0以上～17.0度未満,日本酒度：＋1.0,酸度：1.2,None,原材料：米・米こうじ,原料米：出羽燦々（さんさん）100%,使用酵母：KA,種類：純米・大吟醸　生酒,,,,
31,141,福の宮,蔵元：株式会社宮本酒造店,蔵元：石川県能美郡辰口町宮竹イ74,None,精米歩合：50%,度数：15.0以上～16.0度未満,日本酒度：＋2.0,酸度：1.8,None,原材料：米・米こうじ,原料米：山田錦100%,,,,,,
32,145,渡舟,蔵元：府中誉株式会社,蔵元：茨城県石岡市国府5-9-32,純米,精米歩合：55%,度数：15.0以上～16.0度未満,None,None,None,原材料：米・米こうじ,,,,,,,
