sakecode,sakename,meigaracode,syurui,genryoumai,seimaibuai,nihonsyudo,sando,aminosando,amakardo,noutando,alcohol
1801,北雪 熟成古酒 佐渡の鬼ごろし 音楽酒,616,熟成古酒,五百万石,70,15,1.2,0.5,-1.18,-1.44,15.6
1798,北雪 純米大吟醸,616,純米大吟醸,五百万石,50,5,1.5,1.4,-0.61,-0.43,15.45
1794,北雪 大吟醸酒,616,大吟醸,五百万石,50,5,1.3,1.3,-0.38,-0.8,15.8
1811,北雪 五年熟成古酒 高ね錦,616,五年熟成古酒,高ね錦,60,7,,,,,17.5
1808,北雪 越佐海峡 （貴醸酒タイプ）,616,,五百万石,68,-30,3.9,2.4,-0.09,5.7,21.5
1799,北雪 純米吟醸,616,純米吟醸,五百万石,60,7,,,,,16.5
1800,北雪 純米酒,616,純米酒,五百万石,65,7.5,1.5,1.2,-0.84,-0.54,15.45
1806,北雪 超音波熟成 超熟酒,616,,五百万石,68,15,1.2,0.5,-1.18,-1.44,15.5
1805,北雪 特別本醸造 雪の響,616,特別本醸造,五百万石等,60,7,,,,,15.5
1804,北雪 本醸造 新潟杜氏,616,本醸造,五百万石,65,6.5,1.3,1.3,,,15.6
1809,北雪 吟醸,616,吟醸,五百万石,60,5,1.6,1,-0.73,-0.24,15.45
1802,北雪 超大辛口 佐渡の鬼ごろし,616,,五百万石,70,15,1.2,0.5,-1.18,-1.44,15.6
1803,北雪 本醸造酒,616,本醸造,五百万石,65,6.5,1.3,1.3,,,15.6
1810,北雪 吟醸 にごり酒,616,にごり酒,五百万石,60,5,1.6,1,-0.73,-0.24,15.45
1807,北雪 普通酒 金星,616,普通酒,五百万石,65,8,1.3,1.5,-0.66,-0.94,15.7
8650,笹祝 入魂の技 大吟醸,2189,大吟醸,山田錦、越淡麗,40,,,,,,16.5
8651,笹祝 超特撰,2189,大吟醸,越淡麗,50,,,,,,15.5
8652,笹祝 吟造り 純米,2189,純米吟醸,山田錦,55,,,,,,15.5
8653,笹祝 吟造り,2189,吟醸酒,五百万石,55,,,,,,15.5
8654,笹祝 淡麗 純米酒 青竹,2189,純米酒,山田錦,60,,,,,,14.5
8655,笹祝 淡麗 本醸造 朱竹,2189,特別本醸造,五百万石、雪の精,60,,,,,,14.5
8656,笹祝 THE KOSHI-TAN JUNMAI,2189,純米酒,越淡麗,60,,,,,,
7723,常盤松 にごり,3531,純米大吟醸 にごり酒,,,,,,,,17.5
7722,常盤松 生原酒,3531,大吟醸 生原酒,,,,,,,,17.5
1928,村祐 純米大吟醸 無濾過本生 雅 一年熟成 生詰,1130,純米大吟醸,,,,,,,,15.5
1927,村祐 純米大吟醸 無濾過本生 雅,1130,純米大吟醸,,,,,,,,15.5
1929,村祐 純米吟醸 無濾過本生 妙,1130,純米吟醸,,,,,,,,16.5
1932,村祐 特別純米 無濾過本生原酒 冴 亀口取り,1130,特別純米酒,,,,,,,,18.5
1930,村祐 特別純米 無濾過本生 冴,1130,特別純米酒,,,,,,,,16.5
1931,村祐 特別純米 冴 火入瓶詰,1130,特別純米酒,,,,,,,,15.5
949,菊水 菊水源流 大吟醸原酒,136,大吟醸原酒,山田錦,35,3,1.3,,-0.2,-0.71,17
948,菊水 菊水麗流 純米大吟醸原酒,136,純米大吟醸原酒,菊水,50,-5,1.6,,0.2,0.22,16
946,菊水 大吟醸,136,大吟醸,五百万石、トドロキ早生,50,6,,,,,16
945,菊水 純米大吟醸,136,純米大吟醸,菊水,50,-5,1.7,,0.08,0.4,15
939,菊水 吟醸 無冠帝,136,吟醸,五百万石、トドロキ早稲,50,5,1.4,,-0.5,-0.61,16
940,菊水 純米吟醸,136,純米吟醸,五百万石,60,1,1.7,1.6,-0.47,0.13,15
944,菊水 純米酒,136,純米酒,五百万石,60,1,1.6,1.6,-0.36,-0.06,15
942,菊水 菊水の四段仕込,136,本醸造,五百万石,70,-5,1.5,1.95,0.32,0.03,15
943,菊水 菊水の辛口,136,本醸造,五百万石,70,8,1.3,,-0.66,-0.94,15
941,菊水 ふなぐち 一番しぼり 生原酒,136,本醸造生原酒,五百万石、新潟早生、トドロキ早稲など、年度により変更,70,-2,1.6,,-0.08,0.08,19
947,菊水 ふなぐち 一番しぼり 熟成,136,吟醸熟成酒,五百万石、トドロキ早稲、雪の精など、年度により変更,,-5,1.7,,0.08,0.4,19
1913,初花 七年古酒,558,純米古酒,,,0,,,,,15.5
1914,初花 大吟醸 初花斎,558,大吟醸,五百万石,50,5,1.2,1,-0.27,-0.99,15.5
1915,初花 純米吟醸酒 越乃初花,558,純米吟醸,五百万石,55,0,1.4,1.3,-0.03,-0.39,15.5
1919,初花 越後の吟醸酒 ,558,吟醸酒,,,5,,,,,15.5
1920,初花 吟醸 生酒,558,吟醸,,,5,,,,,15.5
1912,初花 コシヒカリ100%使用 純米酒,558,純米酒,コシヒカリ（新潟県魚沼産）,,0,,,,,15.5
1911,初花 純米酒,558,純米酒,五百万石,60,0,,,,,15.5
1922,初花 本醸造 生酒,558,本醸造,,,5,,,,,15.5
1921,初花 本醸造,558,本醸造,,,5,,,,,15.5
1923,初花 辛口,558,普通酒,,,5,,,,,15.5
1916,初花 吟醸 花嫁,558,吟醸酒,五百万石,55,5,1.3,1,-0.38,-0.8,15.5
1917,初花 純米 うたたね,558,純米酒,五百万石,60,0,1.6,1.5,-0.27,-0.01,15.5
1918,初花 本醸造 胡蝶の夢,558,本醸造,五百万石、新潟早生,65,5,1.3,1.2,-0.38,-0.8,15.5
3996,王紋 大吟醸 斗壜取,557,大吟醸,山田錦,40,6,1.3,1,-0.47,-0.85,
3998,王紋 金賞受賞酒,557,大吟醸 原酒,山田錦,40,1,1.3,,-0.01,-0.62,17.5
3994,王紋 大吟醸 吟の慶,557,大吟醸,山田錦,40,4,1.2,,-0.17,-0.95,16.2
3995,王紋 大吟醸 吟の極,557,大吟醸,山田錦,,5,,,,,16.2
3999,王紋 純米大吟醸 夢,557,純米大吟醸,山田錦,40,3,1.2,1.2,-0.08,-0.9,16.3
4001,王紋 秘蔵古酒 吟醸原酒,557,古酒 吟醸原酒,,37,9,1.9,,-1.45,0.15,20.5
3997,王紋 大吟醸,557,大吟醸,山田錦,40,6,1.3,1,-0.47,-0.85,16
4000,王紋 年輪,557,吟醸古酒 五年貯蔵,五百万石,58,4,1.3,,-0.29,-0.76,15.3
4002,王紋 純米吟醸 夢,557,純米吟醸,五百万石,50,4,1,1,0.06,-1.32,15
4008,王紋 にごり酒,557,本醸造 にごり酒,,,,,,,,
4003,王紋 杜氏の華,557,純米酒,麹米：五百万石、掛米：新潟県産米,42,4,1.5,,-0.52,-0.38,15.5
4004,王紋 純米酒 夢,557,純米酒,,,,,,,,
4005,王紋 辛口,557,普通酒,五百万石,60,8,1.2,1,-0.54,-1.13,15.5
4006,王紋 普通酒,557,普通酒,,,,,,,,
4007,王紋 かれん,557,純米酒,五百万石,60,-23,3,1,0.28,3.68,10
7864,無想 純米吟醸 原酒,3100,純米吟醸 無濾過 生原酒,越淡麗（新潟県産）,57,,,,,,17
1436,〆張鶴 大吟醸 金ラベル,615,純米大吟醸,山田錦,35,4,1.2,,-0.17,-0.95,16.45
1437,〆張鶴 大吟醸 銀ラベル,615,純米大吟醸,高嶺錦,40,6,1.2,,-0.36,-1.04,16.7
903,〆張鶴 吟撰,615,吟醸酒,五百万石,50,4,1.2,,-0.17,-0.95,16.5
902,〆張鶴 純,615,純米吟醸,五百万石,50,3,1.4,,-0.31,-0.52,15.5
905,〆張鶴 雪,615,特別本醸造,五百万石、雪の精,55,4,1.3,,-0.29,-0.76,15.5
904,〆張鶴 月,615,本醸造,五百万石、雪の精,60,4,1.3,,-0.29,-0.76,15.5
1438,〆張鶴 花,615,普通酒,五百万石,,3,,,,,15.5
1439,〆張鶴 しぼりたて原酒,615,原酒,,,,,,,,19.5
4234,弥彦愛国 純米吟醸,1587,純米吟醸,愛国（新潟県弥彦村産）,55,,,,,,
8270,荷札酒 月白,3593,純米大吟醸 原酒,山田錦,40,3,,,,,15
8269,荷札酒 純米大吟醸 生詰 原酒,3593,純米大吟醸 生詰 原酒,麹米：山田錦、掛米：五百万石,50,1,1.6,,-0.36,-0.06,16.5
8273,荷札酒 撫子,3593,純米大吟譲,麹米：山田錦、掛米：五百万石,,2,1.7,,-0.57,0.09,16.5
8271,荷札酒 紅桔梗,3593,純米大吟醸 生原酒,麹米：山田錦、掛米：五百万石,50,2,1.8,,-0.68,0.27,18
8275,荷札酒 槽場汲み 新酒 ,3593,純米大吟醸  生酒,,50,,,,,,
8272,荷札酒 黄水仙,3593,純米大吟醸,麹米：山田錦、掛米：五百万石・雄町・秋田酒こまち,50,,,,,,13
8274,加茂錦 黄酒,2194,大吟醸 無濾過,,50,,,,,,17.5
